time,y
1433194945.000,0.194
1433194945.100,0.193
1433194945.200,0.192
1433194945.300,0.191
1433194945.400,0.189
1433194945.500,0.188
1433194945.600,0.187
1433194945.700,0.186
1433194945.800,0.185
1433194945.900,0.184
1433194946.000,0.183
1433194946.100,0.182
1433194946.200,0.181
1433194946.300,0.179
1433194946.400,0.178
1433194946.500,0.176
1433194946.600,0.175
1433194946.700,0.173
1433194946.800,0.172
1433194946.900,0.171
1433194947.000,0.169
1433194947.100,0.169
1433194947.200,0.169
1433194947.300,0.168
1433194947.400,0.168
1433194947.500,0.168
1433194947.600,0.167
1433194947.700,0.167
1433194947.800,0.167
1433194947.900,0.166
1433194948.000,0.166
1433194948.100,0.166
1433194948.200,0.166
1433194948.300,0.166
1433194948.400,0.166
1433194948.500,0.166
1433194948.600,0.166
1433194948.700,0.166
1433194948.800,0.166
1433194948.900,0.166
1433194949.000,0.166
1433194949.100,0.165
1433194949.200,0.164
1433194949.300,0.164
1433194949.400,0.163
1433194949.500,0.162
1433194949.600,0.161
1433194949.700,0.161
1433194949.800,0.160
1433194949.900,0.159
1433194950.000,0.158
1433194950.100,0.158
1433194950.200,0.158
1433194950.300,0.159
1433194950.400,0.159
1433194950.500,0.160
1433194950.600,0.162
1433194950.700,0.163
1433194950.800,0.165
1433194950.900,0.167
1433194951.000,0.169
1433194951.100,0.172
1433194951.200,0.175
1433194951.300,0.178
1433194951.400,0.181
1433194951.500,0.184
1433194951.600,0.187
1433194951.700,0.190
1433194951.800,0.194
1433194951.900,0.197
1433194952.000,0.200
1433194952.100,0.202
1433194952.200,0.204
1433194952.300,0.205
1433194952.400,0.207
1433194952.500,0.209
1433194952.600,0.210
1433194952.700,0.212
1433194952.800,0.214
1433194952.900,0.216
1433194953.000,0.217
1433194953.100,0.219
1433194953.200,0.220
1433194953.300,0.221
1433194953.400,0.222
1433194953.500,0.223
1433194953.600,0.224
1433194953.700,0.225
1433194953.800,0.227
1433194953.900,0.228
1433194954.000,0.229
1433194954.100,0.231
1433194954.200,0.232
1433194954.300,0.234
1433194954.400,0.236
1433194954.500,0.238
1433194954.600,0.239
1433194954.700,0.241
1433194954.800,0.243
1433194954.900,0.245
1433194955.000,0.247
1433194955.100,0.248
1433194955.200,0.250
1433194955.300,0.251
1433194955.400,0.253
1433194955.500,0.255
1433194955.600,0.256
1433194955.700,0.258
1433194955.800,0.260
1433194955.900,0.262
1433194956.000,0.264
1433194956.100,0.265
1433194956.200,0.266
1433194956.300,0.268
1433194956.400,0.269
1433194956.500,0.271
1433194956.600,0.273
1433194956.700,0.274
1433194956.800,0.276
1433194956.900,0.278
1433194957.000,0.279
1433194957.100,0.280
1433194957.200,0.280
1433194957.300,0.280
1433194957.400,0.280
1433194957.500,0.281
1433194957.600,0.281
1433194957.700,0.281
1433194957.800,0.282
1433194957.900,0.282
1433194958.000,0.282
1433194958.100,0.282
1433194958.200,0.282
1433194958.300,0.282
1433194958.400,0.282
1433194958.500,0.282
1433194958.600,0.282
1433194958.700,0.282
1433194958.800,0.282
1433194958.900,0.282
1433194959.000,0.282
1433194959.100,0.282
1433194959.200,0.282
1433194959.300,0.282
1433194959.400,0.281
1433194959.500,0.281
1433194959.600,0.281
1433194959.700,0.281
1433194959.800,0.281
1433194959.900,0.281
1433194960.000,0.281
1433194960.100,0.279
1433194960.200,0.278
1433194960.300,0.277
1433194960.400,0.276
1433194960.500,0.274
1433194960.600,0.273
1433194960.700,0.272
1433194960.800,0.270
1433194960.900,0.269
1433194961.000,0.268
1433194961.100,0.264
1433194961.200,0.260
1433194961.300,0.257
1433194961.400,0.253
1433194961.500,0.249
1433194961.600,0.246
1433194961.700,0.243
1433194961.800,0.239
1433194961.900,0.236
1433194962.000,0.233
1433194962.100,0.231
1433194962.200,0.228
1433194962.300,0.226
1433194962.400,0.223
1433194962.500,0.221
1433194962.600,0.219
1433194962.700,0.217
1433194962.800,0.216
1433194962.900,0.214
1433194963.000,0.212
1433194963.100,0.212
1433194963.200,0.211
1433194963.300,0.210
1433194963.400,0.210
1433194963.500,0.209
1433194963.600,0.209
1433194963.700,0.208
1433194963.800,0.207
1433194963.900,0.207
1433194964.000,0.206
1433194964.100,0.206
1433194964.200,0.205
1433194964.300,0.204
1433194964.400,0.204
1433194964.500,0.203
1433194964.600,0.203
1433194964.700,0.202
1433194964.800,0.201
1433194964.900,0.201
1433194965.000,0.200
1433194965.100,0.200
1433194965.200,0.200
1433194965.300,0.200
1433194965.400,0.199
1433194965.500,0.199
1433194965.600,0.199
1433194965.700,0.199
1433194965.800,0.199
1433194965.900,0.199
1433194966.000,0.199
1433194966.100,0.199
1433194966.200,0.199
1433194966.300,0.199
1433194966.400,0.199
1433194966.500,0.199
1433194966.600,0.199
1433194966.700,0.199
1433194966.800,0.199
1433194966.900,0.200
1433194967.000,0.200
1433194967.100,0.200
1433194967.200,0.200
1433194967.300,0.200
1433194967.400,0.200
1433194967.500,0.200
1433194967.600,0.200
1433194967.700,0.200
1433194967.800,0.200
1433194967.900,0.200
1433194968.000,0.200
1433194968.100,0.201
1433194968.200,0.201
1433194968.300,0.201
1433194968.400,0.202
1433194968.500,0.202
1433194968.600,0.202
1433194968.700,0.203
1433194968.800,0.203
1433194968.900,0.203
1433194969.000,0.204
1433194969.100,0.204
1433194969.200,0.205
1433194969.300,0.206
1433194969.400,0.207
1433194969.500,0.208
1433194969.600,0.209
1433194969.700,0.210
1433194969.800,0.211
1433194969.900,0.212
1433194970.000,0.213
1433194970.100,0.214
1433194970.200,0.216
1433194970.300,0.218
1433194970.400,0.219
1433194970.500,0.221
1433194970.600,0.223
1433194970.700,0.224
1433194970.800,0.226
1433194970.900,0.228
1433194971.000,0.229
1433194971.100,0.232
1433194971.200,0.234
1433194971.300,0.236
1433194971.400,0.239
1433194971.500,0.241
1433194971.600,0.244
1433194971.700,0.246
1433194971.800,0.248
1433194971.900,0.251
1433194972.000,0.253
1433194972.100,0.256
1433194972.200,0.258
1433194972.300,0.261
1433194972.400,0.264
1433194972.500,0.266
1433194972.600,0.269
1433194972.700,0.271
1433194972.800,0.274
1433194972.900,0.277
1433194973.000,0.279
1433194973.100,0.282
1433194973.200,0.284
1433194973.300,0.286
1433194973.400,0.289
1433194973.500,0.291
1433194973.600,0.293
1433194973.700,0.296
1433194973.800,0.298
1433194973.900,0.300
1433194974.000,0.303
1433194974.100,0.305
1433194974.200,0.308
1433194974.300,0.311
1433194974.400,0.314
1433194974.500,0.316
1433194974.600,0.319
1433194974.700,0.322
1433194974.800,0.325
1433194974.900,0.327
1433194975.000,0.330
1433194975.100,0.332
1433194975.200,0.334
1433194975.300,0.336
1433194975.400,0.337
1433194975.500,0.339
1433194975.600,0.341
1433194975.700,0.343
1433194975.800,0.345
1433194975.900,0.347
1433194976.000,0.349
1433194976.100,0.349
1433194976.200,0.350
1433194976.300,0.351
1433194976.400,0.351
1433194976.500,0.352
1433194976.600,0.353
1433194976.700,0.353
1433194976.800,0.354
1433194976.900,0.355
1433194977.000,0.355
1433194977.100,0.356
1433194977.200,0.357
1433194977.300,0.357
1433194977.400,0.358
1433194977.500,0.358
1433194977.600,0.359
1433194977.700,0.360
1433194977.800,0.360
1433194977.900,0.361
1433194978.000,0.362
1433194978.100,0.362
1433194978.200,0.363
1433194978.300,0.364
1433194978.400,0.364
1433194978.500,0.365
1433194978.600,0.366
1433194978.700,0.366
1433194978.800,0.367
1433194978.900,0.368
1433194979.000,0.368
1433194979.100,0.368
1433194979.200,0.368
1433194979.300,0.369
1433194979.400,0.369
1433194979.500,0.369
1433194979.600,0.369
1433194979.700,0.369
1433194979.800,0.369
1433194979.900,0.369
1433194980.000,0.369
1433194980.100,0.369
1433194980.200,0.369
1433194980.300,0.369
1433194980.400,0.369
1433194980.500,0.369
1433194980.600,0.369
1433194980.700,0.369
1433194980.800,0.369
1433194980.900,0.369
1433194981.000,0.369
1433194981.100,0.371
1433194981.200,0.373
1433194981.300,0.376
1433194981.400,0.380
1433194981.500,0.385
1433194981.600,0.391
1433194981.700,0.398
1433194981.800,0.406
1433194981.900,0.415
1433194982.000,0.424
1433194982.100,0.436
1433194982.200,0.449
1433194982.300,0.462
1433194982.400,0.476
1433194982.500,0.492
1433194982.600,0.507
1433194982.700,0.524
1433194982.800,0.541
1433194982.900,0.558
1433194983.000,0.576
1433194983.100,0.575
1433194983.200,0.573
1433194983.300,0.572
1433194983.400,0.570
1433194983.500,0.569
1433194983.600,0.567
1433194983.700,0.566
1433194983.800,0.564
1433194983.900,0.563
1433194984.000,0.561
1433194984.100,0.560
1433194984.200,0.558
1433194984.300,0.557
1433194984.400,0.556
1433194984.500,0.555
1433194984.600,0.553
1433194984.700,0.552
1433194984.800,0.551
1433194984.900,0.549
1433194985.000,0.548
1433194985.100,0.547
1433194985.200,0.546
1433194985.300,0.545
1433194985.400,0.544
1433194985.500,0.543
1433194985.600,0.542
1433194985.700,0.541
1433194985.800,0.540
1433194985.900,0.539
1433194986.000,0.538
1433194986.100,0.539
1433194986.200,0.539
1433194986.300,0.540
1433194986.400,0.541
1433194986.500,0.541
1433194986.600,0.542
