time,y
1433194945.000,0.120
1433194945.100,0.120
1433194945.200,0.120
1433194945.300,0.120
1433194945.400,0.120
1433194945.500,0.121
1433194945.600,0.121
1433194945.700,0.121
1433194945.800,0.121
1433194945.900,0.121
1433194946.000,0.122
1433194946.100,0.122
1433194946.200,0.122
1433194946.300,0.123
1433194946.400,0.123
1433194946.500,0.123
1433194946.600,0.123
1433194946.700,0.124
1433194946.800,0.124
1433194946.900,0.124
1433194947.000,0.125
1433194947.100,0.125
1433194947.200,0.125
1433194947.300,0.125
1433194947.400,0.125
1433194947.500,0.125
1433194947.600,0.125
1433194947.700,0.125
1433194947.800,0.125
1433194947.900,0.126
1433194948.000,0.126
1433194948.100,0.126
1433194948.200,0.126
1433194948.300,0.126
1433194948.400,0.126
1433194948.500,0.126
1433194948.600,0.126
1433194948.700,0.126
1433194948.800,0.126
1433194948.900,0.126
1433194949.000,0.126
1433194949.100,0.126
1433194949.200,0.126
1433194949.300,0.126
1433194949.400,0.127
1433194949.500,0.127
1433194949.600,0.127
1433194949.700,0.127
1433194949.800,0.127
1433194949.900,0.128
1433194950.000,0.128
1433194950.100,0.128
1433194950.200,0.128
1433194950.300,0.128
1433194950.400,0.128
1433194950.500,0.128
1433194950.600,0.129
1433194950.700,0.129
1433194950.800,0.129
1433194950.900,0.129
1433194951.000,0.129
1433194951.100,0.129
1433194951.200,0.129
1433194951.300,0.129
1433194951.400,0.129
1433194951.500,0.129
1433194951.600,0.129
1433194951.700,0.128
1433194951.800,0.128
1433194951.900,0.128
1433194952.000,0.128
1433194952.100,0.128
1433194952.200,0.127
1433194952.300,0.127
1433194952.400,0.127
1433194952.500,0.126
1433194952.600,0.126
1433194952.700,0.126
1433194952.800,0.125
1433194952.900,0.125
1433194953.000,0.125
1433194953.100,0.125
1433194953.200,0.124
1433194953.300,0.124
1433194953.400,0.124
1433194953.500,0.124
1433194953.600,0.123
1433194953.700,0.123
1433194953.800,0.123
1433194953.900,0.123
1433194954.000,0.123
1433194954.100,0.123
1433194954.200,0.123
1433194954.300,0.123
1433194954.400,0.123
1433194954.500,0.123
1433194954.600,0.124
1433194954.700,0.124
1433194954.800,0.124
1433194954.900,0.124
1433194955.000,0.124
1433194955.100,0.125
1433194955.200,0.125
1433194955.300,0.125
1433194955.400,0.126
1433194955.500,0.126
1433194955.600,0.126
1433194955.700,0.127
1433194955.800,0.127
1433194955.900,0.127
1433194956.000,0.128
1433194956.100,0.128
1433194956.200,0.128
1433194956.300,0.129
1433194956.400,0.129
1433194956.500,0.129
1433194956.600,0.130
1433194956.700,0.130
1433194956.800,0.131
1433194956.900,0.131
1433194957.000,0.131
1433194957.100,0.131
1433194957.200,0.131
1433194957.300,0.131
1433194957.400,0.131
1433194957.500,0.132
1433194957.600,0.132
1433194957.700,0.132
1433194957.800,0.132
1433194957.900,0.132
1433194958.000,0.132
1433194958.100,0.132
1433194958.200,0.132
1433194958.300,0.132
1433194958.400,0.132
1433194958.500,0.132
1433194958.600,0.132
1433194958.700,0.132
1433194958.800,0.132
1433194958.900,0.132
1433194959.000,0.132
1433194959.100,0.132
1433194959.200,0.132
1433194959.300,0.132
1433194959.400,0.132
1433194959.500,0.132
1433194959.600,0.132
1433194959.700,0.132
1433194959.800,0.132
1433194959.900,0.132
1433194960.000,0.132
1433194960.100,0.132
1433194960.200,0.132
1433194960.300,0.132
1433194960.400,0.132
1433194960.500,0.132
1433194960.600,0.132
1433194960.700,0.132
1433194960.800,0.132
1433194960.900,0.133
1433194961.000,0.133
1433194961.100,0.133
1433194961.200,0.134
1433194961.300,0.135
1433194961.400,0.136
1433194961.500,0.136
1433194961.600,0.137
1433194961.700,0.138
1433194961.800,0.138
1433194961.900,0.139
1433194962.000,0.140
1433194962.100,0.141
1433194962.200,0.141
1433194962.300,0.142
1433194962.400,0.143
1433194962.500,0.143
1433194962.600,0.144
1433194962.700,0.145
1433194962.800,0.145
1433194962.900,0.146
1433194963.000,0.147
1433194963.100,0.147
1433194963.200,0.147
1433194963.300,0.147
1433194963.400,0.148
1433194963.500,0.148
1433194963.600,0.148
1433194963.700,0.148
1433194963.800,0.148
1433194963.900,0.149
1433194964.000,0.149
1433194964.100,0.149
1433194964.200,0.149
1433194964.300,0.149
1433194964.400,0.149
1433194964.500,0.148
1433194964.600,0.148
1433194964.700,0.148
1433194964.800,0.148
1433194964.900,0.148
1433194965.000,0.148
1433194965.100,0.148
1433194965.200,0.148
1433194965.300,0.148
1433194965.400,0.148
